 alpha=   1.25000000000000      ma=  0.800000000000000     
       0.83918585       0.99166559      -0.13626994       2.81124772  
       0.88365417       1.01580476      -0.17727829       2.95290569  
       0.76813575       0.99467791       0.17894904       2.60943452  
       0.90101065       1.02023321      -0.18352811       3.00906166  
       0.78691220       1.00864000       0.18658300       2.67426608  
       1.06960053       0.90699363      -0.35032055       3.50267003  
       0.97004821       0.95135603       0.40761991       3.23189282  
       1.23203634       0.69789809       0.22772176       3.94267184  
       0.97061912       0.98175988      -0.22915923       3.20102623  
       0.85933554       0.99950893       0.25345286       2.87737736  
       1.03603051       0.80860465       0.49303013       3.37448031  
       1.13574145       0.76695712      -0.39518910       3.65859493  
       1.19868296       0.62523192       0.44485859       3.84090658  
       1.02368982       0.93419437      -0.28912291       3.35163513  
       0.92405726       0.96374854       0.33459576       3.06574523  
       1.26894030       0.65316106       0.01120252       4.06101584  
       0.74121596       0.97176124       0.13091311       2.51984442  
       0.85499526       1.00705102      -0.13529408       2.87011670  
       1.01628395       0.94679296      -0.28641204       3.33731807  
       0.91642969       0.98075397       0.33471782       3.05829857  
       1.23152853       0.59378116      -0.30921676       3.91696830  
       0.71530619       0.95077090       0.11995599       2.42740148  
       0.83152975       0.99528328      -0.12281657       2.78939708  
       1.25934911       0.68921636       0.10080758       4.03717485  
       1.25023375       0.67778475      -0.04757381       3.99641203  
       1.25151181       0.65444377      -0.16619277       4.00148516  
       0.98646629       0.96888391      -0.24718601       3.24565491  
       0.87563823       0.99110986       0.27764161       2.92432724  
       1.24992150       0.66632023       0.13664557       3.99029172  
       1.17454909       0.71564774       0.46249361       3.80350707  
       1.23263591       0.62397861      -0.32638031       3.92813963  
       0.95345778       0.99371493      -0.21117812       3.15259021  
       0.84496995       1.00509574       0.23068420       2.83504955  
       0.87337394       1.02027564      -0.16232665       2.92329581  
       0.75993072       0.99716350       0.16373831       2.58644444  
       0.83311279       1.00750001       0.22627769       2.80278970  
       0.93966928       0.99903014      -0.20637502       3.11230292  
       0.82443426       0.99760574      -0.11091094       2.76894625  
       0.70872512       0.95120425       0.10698045       2.40819275  
       1.12190066       0.84533526      -0.37613445       3.65481380  
       1.03459135       0.89782412       0.46429552       3.42558768  
       0.73164938       0.97121889       0.11803077       2.49113961  
       0.84606160       1.00941789      -0.12226403       2.84370464  
       0.98082004       0.97865862      -0.23219008       3.23224636  
       0.87767023       0.99974031       0.26758446       2.93584509  
       0.91607241       1.01233110      -0.19058474       3.04809260  
       0.80580535       1.01274305       0.19959961       2.72720293  
       0.88510402       1.02443881      -0.16566074       2.96164595  
       0.77420497       1.00863154       0.16752453       2.63504043  
       0.90358651       1.01437767      -0.18217672       3.00956042  
